date,day1,day2,day3,day4,day5,day6,day7,nextDay
02-01-2000,100,125,133,56,105,140,64,62
09-01-2000 00:00,62,84,141,143,59,185,241,65
16-01-2000 00:00,65,68,82,144,101,249,65,118
23-01-2000 00:00,118,112,99,149,54,242,144,51
30-01-2000 00:00,51,128,93,106,56,206,207,72
06-02-2000 00:00,72,53,130,107,143,180,167,120
13-02-2000 00:00,120,113,80,94,51,249,76,69
20-02-2000 00:00,69,69,116,68,72,240,82,144
27-02-2000 00:00,144,104,129,138,136,167,144,57
05-03-2000 00:00,57,114,67,97,86,98,250,82
12-03-2000 00:00,82,90,100,103,94,250,226,83
19-03-2000 00:00,83,55,106,61,138,160,109,82
26-03-2000 00:00,82,122,101,130,134,61,150,96
02-04-2000 00:00,96,54,90,52,69,249,140,94
09-04-2000 00:00,94,67,115,51,96,102,104,121
16-04-2000 00:00,121,101,66,95,120,139,77,106
23-04-2000 00:00,106,70,94,103,107,106,217,118
30-04-2000 00:00,118,89,57,126,139,221,107,149
07-05-2000 00:00,149,88,130,141,90,73,200,123
14-05-2000 00:00,123,136,65,74,119,203,51,61
21-05-2000 00:00,61,64,112,76,79,85,183,140
28-05-2000 00:00,140,52,103,78,143,129,118,53
04-06-2000 00:00,53,66,75,128,78,135,143,52
11-06-2000 00:00,52,85,69,73,95,120,98,105
18-06-2000 00:00,105,89,127,98,95,102,170,80
25-06-2000 00:00,80,81,74,150,128,201,237,114
02-07-2000 00:00,114,135,142,55,106,127,57,119
09-07-2000 00:00,119,128,110,56,144,64,155,58
16-07-2000 00:00,58,81,81,78,93,167,215,67
23-07-2000 00:00,67,125,71,79,75,174,238,67
30-07-2000 00:00,67,95,83,52,83,111,95,74
06-08-2000 00:00,74,89,81,76,137,138,230,74
13-08-2000 00:00,74,70,140,145,137,77,213,63
20-08-2000 00:00,63,83,145,117,130,171,150,70
27-08-2000 00:00,70,63,115,93,111,82,171,69
03-09-2000 00:00,69,77,84,107,134,138,117,98
10-09-2000 00:00,98,118,57,97,133,107,55,116
17-09-2000 00:00,116,132,126,66,142,197,126,74
24-09-2000 00:00,74,118,82,68,142,220,128,87
01-10-2000 00:00,87,77,111,87,57,77,198,115
08-10-2000 00:00,115,100,77,101,54,217,177,97
15-10-2000 00:00,97,59,142,132,53,140,210,145
22-10-2000 00:00,145,113,100,72,52,219,138,143
29-10-2000 00:00,143,145,84,82,143,208,163,66
05-11-2000 00:00,66,107,93,80,113,93,192,129
12-11-2000 00:00,129,54,137,140,82,105,143,60
19-11-2000 00:00,60,55,88,121,102,123,248,77
26-11-2000 00:00,77,102,117,89,86,123,238,114
03-12-2000 00:00,114,53,100,120,95,245,176,99
10-12-2000 00:00,99,130,134,134,91,118,162,63
17-12-2000 00:00,63,71,142,79,88,159,149,96
24-12-2000 00:00,96,84,67,71,131,88,212,135
31-12-2000 00:00,135,124,60,141,111,187,112,107
07-01-2001,107,99,60,80,129,183,72,138
14-01-2001,138,103,62,125,103,229,86,94
21-01-2001,94,61,51,131,89,220,183,133
28-01-2001,133,56,107,108,118,248,88,125
04-02-2001,125,122,51,60,96,63,130,139
11-02-2001,139,72,147,102,106,138,248,125
18-02-2001,125,118,118,125,99,164,236,62
25-02-2001,62,60,139,108,110,70,241,127
04-03-2001,127,75,148,67,95,144,230,128
11-03-2001,128,133,61,73,118,95,116,94
18-03-2001,94,75,112,52,98,121,177,139
25-03-2001,139,79,92,144,91,239,51,117
01-04-2001,117,126,92,113,148,86,234,120
08-04-2001,120,112,149,107,53,208,165,79
15-04-2001,79,56,141,109,103,70,104,78
22-04-2001,78,53,136,81,55,202,249,140
29-04-2001,140,121,138,66,74,184,124,84
06-05-2001,84,72,54,62,86,166,170,133
13-05-2001,133,133,93,69,125,150,97,68
20-05-2001,68,140,142,146,59,127,143,54
27-05-2001,54,63,84,99,65,141,172,59
03-06-2001,59,113,98,119,89,228,192,64
10-06-2001,64,148,130,110,105,202,149,54
17-06-2001,54,50,108,133,119,208,194,129
24-06-2001,129,51,150,119,100,230,149,140
01-07-2001,140,136,81,72,78,90,200,131
08-07-2001,131,105,134,78,138,127,222,98
15-07-2001,98,98,120,136,131,86,141,133
22-07-2001,133,145,52,62,102,58,163,91
29-07-2001,91,147,112,60,114,171,245,107
05-08-2001,107,55,142,139,127,216,144,126
12-08-2001,126,102,106,150,138,132,117,86
19-08-2001,86,67,100,127,88,124,144,110
26-08-2001,110,125,84,68,130,94,110,145
02-09-2001,145,77,96,132,72,79,160,80
09-09-2001,80,119,72,53,119,151,187,62
16-09-2001,62,113,137,146,131,66,111,96
23-09-2001,96,93,97,138,92,178,142,125
30-09-2001,125,150,75,65,124,84,155,78
07-10-2001,78,109,81,67,101,244,170,64
14-10-2001,64,57,63,76,105,165,117,124
21-10-2001,124,71,87,103,76,137,162,54
28-10-2001,54,57,94,136,144,145,239,52
04-11-2001,52,58,148,50,134,102,71,101
11-11-2001,101,85,138,141,71,172,239,66
18-11-2001,66,141,125,135,87,188,144,119
25-11-2001,119,129,50,56,95,131,101,79
02-12-2001,79,109,116,56,144,222,247,131
09-12-2001,131,73,148,67,95,109,120,92
16-12-2001,92,53,123,116,53,72,192,89
23-12-2001,89,135,129,148,81,145,150,83
30-12-2001,83,110,150,106,123,155,62,78
06-01-2002,78,50,91,79,56,99,132,66
13-01-2002,66,126,56,148,55,139,90,100
20-01-2002,100,88,138,145,87,238,76,80
27-01-2002,80,55,58,64,129,122,248,56
03-02-2002,56,54,119,56,86,200,220,128
10-02-2002,128,108,72,111,100,128,102,81
17-02-2002,81,125,50,131,112,193,147,119
24-02-2002,119,81,146,129,134,67,238,54
03-03-2002,54,68,61,140,93,95,122,58
10-03-2002,58,113,98,118,94,105,192,95
17-03-2002,95,139,104,83,58,151,203,149
24-03-2002,149,86,113,147,61,235,116,143
31-03-2002,143,106,137,145,140,210,120,95
07-04-2002,95,112,139,65,67,229,168,90
14-04-2002,90,91,132,64,120,124,129,102
21-04-2002,102,75,83,120,97,115,70,52
28-04-2002,52,121,116,59,91,118,131,143
05-05-2002,143,51,131,149,93,74,212,59
12-05-2002,59,79,63,128,78,190,53,88
19-05-2002,88,110,52,127,68,182,247,134
26-05-2002,134,79,107,145,98,186,209,56
02-06-2002,56,67,128,77,118,134,96,65
09-06-2002,65,140,134,56,86,229,79,76
16-06-2002,76,85,69,75,143,219,186,130
23-06-2002,130,110,115,63,86,188,211,111
30-06-2002,111,86,61,75,114,92,247,82
07-07-2002,82,136,74,66,130,149,204,145
14-07-2002,145,99,126,62,115,168,93,68
21-07-2002,68,91,62,69,65,185,128,57
28-07-2002,57,96,145,71,109,112,121,94
04-08-2002,94,130,95,144,88,141,65,122
11-08-2002,122,108,82,139,103,195,161,88
18-08-2002,88,116,141,66,111,199,139,115
25-08-2002,115,119,130,94,144,174,69,139
01-09-2002,139,94,123,136,81,149,238,119
08-09-2002,119,112,133,144,134,185,139,114
15-09-2002,114,119,58,61,125,182,154,101
22-09-2002,101,108,95,118,95,181,117,147
29-09-2002,147,50,143,76,121,157,235,71
06-10-2002,71,109,132,96,146,71,120,117
13-10-2002,117,73,145,64,83,232,239,66
20-10-2002,66,112,126,111,134,110,246,95
27-10-2002,95,124,109,144,110,122,115,105
03-11-2002,105,129,78,98,100,99,167,124
10-11-2002,124,143,142,129,125,241,50,86
17-11-2002,86,93,65,66,58,198,235,80
24-11-2002,80,65,94,53,66,112,95,61
01-12-2002,61,105,87,105,57,216,120,90
08-12-2002,90,61,98,121,56,57,150,53
15-12-2002,53,125,135,60,113,85,154,146
22-12-2002,146,104,140,82,110,246,210,140
29-12-2002,140,145,144,57,104,186,195,93
05-01-2003,93,129,98,120,102,72,139,120
12-01-2003,120,81,127,59,85,217,68,138
19-01-2003,138,112,120,106,74,84,114,60
26-01-2003,60,54,70,74,93,216,100,141
02-02-2003,141,145,103,67,130,142,100,73
09-02-2003,73,73,148,130,77,141,69,137
16-02-2003,137,100,64,104,51,176,239,110
23-02-2003,110,100,105,105,116,187,100,79
02-03-2003,79,144,87,66,121,188,60,84
09-03-2003,84,105,61,90,123,236,148,107
16-03-2003,107,72,55,149,64,134,200,109
23-03-2003,109,81,131,68,71,155,148,113
30-03-2003,113,67,79,78,92,207,232,66
06-04-2003,66,63,51,56,71,88,236,81
13-04-2003,81,59,82,142,131,95,136,100
20-04-2003,100,105,121,147,104,165,127,131
27-04-2003,131,51,139,121,146,134,236,83
04-05-2003,83,129,109,58,131,76,63,82
11-05-2003,82,146,66,54,110,144,98,54
18-05-2003,54,96,100,104,141,183,207,134
25-05-2003,134,53,63,136,133,51,248,149
01-06-2003,149,56,72,125,131,170,63,111
08-06-2003,111,118,64,111,129,131,161,133
15-06-2003,133,129,134,95,67,55,223,91
22-06-2003,91,116,72,103,84,89,195,118
29-06-2003,118,138,119,147,93,174,146,123
06-07-2003,123,109,137,62,92,108,177,106
13-07-2003,106,85,126,94,108,157,86,148
20-07-2003,148,72,130,134,118,61,163,65
27-07-2003,65,78,97,67,74,113,96,89
03-08-2003,89,119,135,78,55,199,120,143
10-08-2003,143,124,146,123,148,192,125,110
17-08-2003,110,148,90,116,94,134,185,62
24-08-2003,62,118,55,141,85,239,181,136
31-08-2003,136,51,59,92,142,218,126,83
07-09-2003,83,57,65,84,93,174,168,80
14-09-2003,80,52,96,118,115,246,126,81
21-09-2003,81,144,105,128,133,161,194,147
28-09-2003,147,108,84,80,146,205,118,97
05-10-2003,97,116,102,128,111,121,130,95
12-10-2003,95,84,113,128,80,99,111,79
19-10-2003,79,77,138,138,67,168,62,97
26-10-2003,97,120,132,102,143,197,92,118
02-11-2003,118,149,140,77,108,238,82,102
09-11-2003,102,133,51,129,67,198,226,129
16-11-2003,129,63,113,149,143,213,160,59
23-11-2003,59,92,55,53,62,226,194,65
30-11-2003,65,101,63,97,139,57,117,54
07-12-2003,54,118,74,88,57,246,179,141
14-12-2003,141,133,147,112,103,161,110,121
21-12-2003,121,64,77,54,89,86,86,131
28-12-2003,131,147,77,124,117,236,122,102
04-01-2004,102,142,79,110,53,192,154,100
11-01-2004,100,82,149,137,121,129,94,75
18-01-2004,75,135,85,106,84,171,160,59
25-01-2004,59,72,76,120,71,225,185,75
01-02-2004,75,76,99,67,57,68,121,93
08-02-2004,93,107,140,68,82,138,225,102
15-02-2004,102,125,86,92,72,222,110,53
22-02-2004,53,75,116,146,108,160,238,108
29-02-2004,108,80,142,113,82,110,197,106
07-03-2004,106,77,100,106,71,53,198,124
14-03-2004,124,59,84,118,100,226,120,78
21-03-2004,78,133,63,80,81,55,152,123
28-03-2004,123,63,58,124,138,129,131,141
04-04-2004,141,93,110,145,91,59,231,57
11-04-2004,57,63,91,142,92,250,231,84
18-04-2004,84,79,121,124,75,210,233,134
25-04-2004,134,90,111,94,89,148,66,141
02-05-2004,141,112,110,68,108,223,72,145
09-05-2004,145,95,85,65,84,222,75,78
16-05-2004,78,53,84,107,63,62,126,84
23-05-2004,84,108,144,106,51,234,117,114
30-05-2004,114,136,80,100,97,103,161,141
06-06-2004,141,126,139,50,106,243,244,106
13-06-2004,106,57,126,58,95,212,245,109
20-06-2004,109,136,115,98,79,184,89,60
27-06-2004,60,103,128,136,79,183,68,95
04-07-2004,95,117,54,142,135,233,140,149
11-07-2004,149,79,94,72,114,200,192,101
18-07-2004,101,127,131,104,109,108,164,67
25-07-2004,67,92,129,61,139,68,78,106
01-08-2004,106,71,104,102,89,116,81,125
08-08-2004,125,118,90,139,102,94,135,54
15-08-2004,54,53,122,51,94,67,96,81
22-08-2004,81,56,137,82,58,141,190,148
29-08-2004,148,139,110,117,150,129,167,100
05-09-2004,100,64,92,81,90,138,69,78
12-09-2004,78,132,122,78,111,135,205,107
19-09-2004,107,145,136,134,143,122,136,127
26-09-2004,127,70,123,103,111,62,132,120
03-10-2004,120,87,68,121,54,187,127,131
10-10-2004,131,64,61,111,92,167,130,136
17-10-2004,136,85,136,112,61,55,151,51
24-10-2004,51,53,131,118,88,249,101,51
31-10-2004,51,144,80,66,77,74,122,64
07-11-2004,64,86,141,85,99,155,110,113
14-11-2004,113,84,100,92,68,98,62,78
21-11-2004,78,104,148,70,121,50,62,96
28-11-2004,96,83,98,65,117,205,105,80
05-12-2004,80,140,149,87,65,154,232,51
12-12-2004,51,81,140,133,87,228,193,98
19-12-2004,98,135,136,127,88,190,197,137
26-12-2004,137,81,115,140,133,136,121,142
02-01-2005,142,128,63,84,149,245,232,144
09-01-2005,144,73,131,97,127,206,218,122
16-01-2005,122,110,94,89,66,56,109,80
23-01-2005,80,83,111,119,60,220,70,107
30-01-2005,107,68,136,103,93,96,240,73
06-02-2005,73,72,102,104,112,217,233,61
13-02-2005,61,109,51,111,103,104,85,67
20-02-2005,67,122,73,51,135,94,184,76
27-02-2005,76,137,103,121,132,218,182,121
06-03-2005,121,120,115,128,51,221,139,56
13-03-2005,56,137,147,76,103,92,202,106
20-03-2005,106,133,80,139,147,214,194,103
27-03-2005,103,101,54,142,142,153,179,150
03-04-2005,150,108,67,139,138,123,190,141
10-04-2005,141,83,72,94,129,235,193,109
17-04-2005,109,148,68,136,63,64,233,71
24-04-2005,71,123,70,68,105,126,59,106
01-05-2005,106,137,88,52,137,241,178,51
08-05-2005,51,129,97,142,124,184,117,138
15-05-2005,138,80,70,125,57,83,182,65
22-05-2005,65,150,87,112,100,121,94,146
29-05-2005,146,119,127,63,71,78,238,52
05-06-2005,52,70,148,109,150,240,177,51
12-06-2005,51,123,98,79,137,70,203,146
19-06-2005,146,140,148,62,122,127,71,148
26-06-2005,148,86,131,73,142,229,115,128
03-07-2005,128,147,89,90,145,87,109,78
10-07-2005,78,111,82,149,74,115,205,54
17-07-2005,54,142,115,141,106,79,248,149
24-07-2005,149,102,105,98,72,145,240,96
31-07-2005,96,73,140,104,51,92,179,96
07-08-2005,96,90,83,105,84,198,97,59
14-08-2005,59,99,66,87,126,107,209,115
21-08-2005,115,147,148,103,80,141,92,105
28-08-2005,105,132,93,77,99,128,122,96
04-09-2005,96,100,139,61,71,169,147,131
11-09-2005,131,59,114,130,123,216,111,50
18-09-2005,50,131,97,105,79,201,92,126
25-09-2005,126,85,145,119,137,206,215,71
02-10-2005,71,139,128,80,59,225,208,133
09-10-2005,133,138,59,126,116,139,92,54
16-10-2005,54,72,141,62,119,232,52,103
23-10-2005,103,148,57,111,97,149,137,57
30-10-2005,57,137,116,108,98,172,107,143
06-11-2005,143,78,57,122,79,112,143,129
13-11-2005,129,69,107,86,113,172,244,126
20-11-2005,126,110,123,133,113,154,202,145
27-11-2005,145,147,95,94,56,236,68,149
04-12-2005,149,101,83,78,143,57,64,56
11-12-2005,56,68,59,77,131,75,208,113
18-12-2005,113,69,125,69,147,216,84,129
25-12-2005,129,113,90,146,149,66,213,110
01-01-2006,110,67,53,53,87,150,173,138
08-01-2006,138,129,147,109,64,90,224,92
15-01-2006,92,72,134,61,139,76,137,78
22-01-2006,78,58,73,77,86,70,92,109
29-01-2006,109,106,69,143,59,198,61,140
05-02-2006,140,139,50,99,74,183,243,95
12-02-2006,95,59,140,144,135,196,188,101
19-02-2006,101,54,130,60,55,186,182,98
26-02-2006,98,91,71,60,86,244,133,111
05-03-2006,111,66,145,60,113,133,171,65
12-03-2006,65,144,108,110,120,233,134,112
19-03-2006,112,84,96,81,136,139,176,119
26-03-2006,119,88,65,147,96,227,136,129
02-04-2006,129,53,89,110,88,53,222,97
09-04-2006,97,95,90,117,60,234,102,60
16-04-2006,60,146,59,56,70,183,184,58
23-04-2006,58,150,103,93,99,248,105,71
30-04-2006,71,81,136,70,105,176,212,74
07-05-2006,74,82,128,119,74,229,242,105
14-05-2006,105,122,94,126,109,153,59,114
21-05-2006,114,141,136,87,135,220,188,136
28-05-2006,136,133,53,120,65,104,185,131
04-06-2006,131,84,102,97,80,150,185,77
11-06-2006,77,79,90,76,81,112,117,123
18-06-2006,123,84,116,78,67,102,206,101
25-06-2006,101,59,130,52,137,219,115,146
02-07-2006,146,145,133,96,61,244,206,65
09-07-2006,65,115,70,86,141,144,97,53
16-07-2006,53,106,77,74,65,82,219,150
23-07-2006,150,71,124,100,53,242,194,122
30-07-2006,122,67,73,144,127,130,117,135
06-08-2006,135,112,81,98,133,121,53,71
13-08-2006,71,145,68,101,96,209,118,105
20-08-2006,105,134,72,125,75,83,171,99
27-08-2006,99,64,87,120,110,143,225,73
03-09-2006,73,144,133,139,80,52,128,148
10-09-2006,148,111,103,102,54,224,70,56
17-09-2006,56,126,146,55,129,206,90,62
24-09-2006,62,53,65,70,130,110,199,57
01-10-2006,57,103,100,122,94,199,180,71
08-10-2006,71,93,68,83,86,89,192,144
15-10-2006,144,132,136,112,144,74,221,117
22-10-2006,117,105,93,145,137,127,81,80
29-10-2006,80,72,99,149,146,147,108,84
05-11-2006,84,69,69,84,93,128,99,97
12-11-2006,97,141,107,67,148,168,71,75
19-11-2006,75,80,80,100,115,81,135,93
26-11-2006,93,73,84,76,57,217,187,121
03-12-2006,121,120,93,121,61,52,113,88
10-12-2006,88,115,62,119,130,152,180,97
17-12-2006,97,114,91,84,131,177,82,93
24-12-2006,93,144,109,80,117,242,119,113
31-12-2006,113,115,68,141,119,182,248,72
07-01-2007,72,106,112,71,143,105,77,140
14-01-2007,140,119,140,54,94,183,141,99
21-01-2007,99,141,93,115,54,210,123,136
28-01-2007,136,78,138,95,124,142,76,58
04-02-2007,58,89,52,60,67,59,239,61
11-02-2007,61,114,77,55,74,215,186,88
18-02-2007,88,146,55,87,142,216,137,92
25-02-2007,92,73,75,134,137,56,73,51
04-03-2007,51,97,144,55,84,240,180,65
11-03-2007,65,128,149,68,135,181,233,109
18-03-2007,109,90,108,102,121,91,148,79
25-03-2007,79,135,72,125,59,133,71,126
01-04-2007,126,147,64,71,57,80,239,130
08-04-2007,130,71,64,83,57,124,246,126
15-04-2007,126,58,55,81,141,78,50,148
22-04-2007,148,135,107,77,139,172,100,93
29-04-2007,93,143,121,138,67,208,95,85
06-05-2007,85,140,68,77,60,176,86,104
13-05-2007,104,102,82,149,121,86,196,100
20-05-2007,100,83,74,102,129,64,218,72
27-05-2007,72,109,63,59,142,118,59,52
03-06-2007,52,75,67,110,52,99,246,64
10-06-2007,64,55,119,64,129,227,117,67
17-06-2007,67,131,86,126,57,88,190,147
24-06-2007,147,65,99,110,77,211,238,124
01-07-2007,124,53,65,72,141,104,201,130
08-07-2007,130,118,106,141,85,82,160,78
15-07-2007,78,93,138,110,104,89,195,61
22-07-2007,61,134,62,88,69,168,204,54
29-07-2007,54,133,114,90,133,186,175,115
05-08-2007,115,98,55,92,111,58,142,88
12-08-2007,88,131,98,64,107,197,57,147
19-08-2007,147,63,96,65,65,60,67,84
26-08-2007,84,75,124,53,52,227,119,127
02-09-2007,127,115,74,67,123,104,134,148
09-09-2007,148,99,131,134,130,160,154,99
16-09-2007,99,124,61,74,82,145,149,125
23-09-2007,125,92,141,105,57,173,244,123
30-09-2007,123,93,124,131,57,167,87,143
07-10-2007,143,53,129,92,136,91,73,144
14-10-2007,144,126,108,145,142,167,144,80
21-10-2007,80,93,130,58,84,99,182,56
28-10-2007,56,147,103,109,63,212,175,148
04-11-2007,148,120,135,62,109,67,237,142
11-11-2007,142,80,88,147,90,81,69,149
18-11-2007,149,105,73,96,62,173,83,142
25-11-2007,142,73,118,92,75,133,82,95
02-12-2007,95,76,70,65,125,54,163,90
09-12-2007,90,86,137,135,114,163,81,54
16-12-2007,54,126,63,129,108,233,62,110
23-12-2007,110,71,127,114,51,94,222,51
30-12-2007,51,96,107,73,91,228,142,100
06-01-2008,100,83,113,124,64,210,58,81
13-01-2008,81,109,93,146,64,109,218,144
20-01-2008,144,56,127,129,124,224,182,133
27-01-2008,133,114,127,79,103,227,52,145
03-02-2008,145,104,136,126,148,213,171,67
10-02-2008,67,62,105,107,140,226,94,146
17-02-2008,146,63,100,74,90,226,168,103
24-02-2008,103,75,140,69,124,174,103,104
02-03-2008,104,74,93,144,101,108,157,147
09-03-2008,147,109,120,137,118,140,211,106
16-03-2008,106,100,133,135,65,188,131,124
23-03-2008,124,87,105,70,68,233,113,126
30-03-2008,126,146,82,129,111,248,194,78
06-04-2008,78,86,95,91,97,60,215,83
13-04-2008,83,133,134,132,59,120,220,109
20-04-2008,109,150,118,90,80,186,204,95
27-04-2008,95,125,94,116,132,88,220,75
04-05-2008,75,123,146,119,118,184,86,58
11-05-2008,58,134,96,77,58,243,170,111
18-05-2008,111,53,104,58,142,208,238,149
25-05-2008,149,55,98,98,71,225,131,80
01-06-2008,80,63,137,57,59,92,145,122
08-06-2008,122,62,143,92,66,231,139,97
15-06-2008,97,54,135,78,61,241,229,127
22-06-2008,127,79,90,100,85,204,85,79
29-06-2008,79,141,61,113,97,232,93,60
06-07-2008,60,135,69,117,109,171,223,114
13-07-2008,114,100,56,137,118,218,94,102
20-07-2008,102,95,101,122,126,178,55,58
27-07-2008,58,140,110,102,107,63,89,137
03-08-2008,137,53,138,126,61,247,130,72
10-08-2008,72,123,124,73,92,52,136,89
17-08-2008,89,74,146,85,144,249,140,135
24-08-2008,135,72,92,67,130,234,135,78
31-08-2008,78,74,82,100,82,133,86,114
07-09-2008,114,111,144,60,143,244,87,99
14-09-2008,99,80,71,121,67,206,172,65
21-09-2008,65,132,142,78,87,117,221,115
28-09-2008,115,103,62,144,53,174,97,83
05-10-2008,83,114,107,80,77,162,239,121
12-10-2008,121,81,110,55,60,196,96,133
19-10-2008,133,54,96,74,126,214,147,118
26-10-2008,118,69,128,50,102,59,175,82
02-11-2008,82,62,114,58,107,220,93,149
09-11-2008,149,126,107,113,141,59,128,147
16-11-2008,147,123,55,96,56,172,184,50
23-11-2008,50,109,136,147,94,111,168,139
30-11-2008,139,123,87,96,67,108,101,87
07-12-2008,87,138,143,129,109,64,159,103
14-12-2008,103,59,99,103,137,208,230,109
21-12-2008,109,119,70,127,57,59,248,113
28-12-2008,113,112,73,134,138,100,230,64
04-01-2009,64,88,105,51,51,149,195,55
11-01-2009,55,57,75,92,98,214,107,94
18-01-2009,94,55,121,141,132,133,241,122
25-01-2009,122,51,67,125,70,58,187,63
01-02-2009,63,60,94,59,107,59,164,92
08-02-2009,92,109,58,130,78,239,64,64
15-02-2009,64,117,92,65,57,160,81,64
22-02-2009,64,123,56,130,148,211,114,96
01-03-2009,96,75,122,65,145,132,121,117
08-03-2009,117,83,65,98,68,180,174,70
15-03-2009,70,80,144,117,128,247,142,146
22-03-2009,146,74,88,140,123,137,160,72
29-03-2009,72,102,141,108,54,191,213,95
05-04-2009,95,98,139,127,114,110,247,71
12-04-2009,71,58,63,132,78,138,91,121
19-04-2009,121,71,59,60,133,186,198,59
26-04-2009,59,129,62,53,94,225,186,77
03-05-2009,77,85,99,114,75,178,137,102
10-05-2009,102,102,142,59,70,88,191,114
17-05-2009,114,112,57,63,132,84,151,117
24-05-2009,117,128,92,118,138,73,147,143
31-05-2009,143,61,103,98,136,108,208,74
07-06-2009,74,99,70,52,71,87,62,67
14-06-2009,67,136,138,137,58,58,72,142
21-06-2009,142,115,117,92,88,149,61,87
28-06-2009,87,73,86,112,116,95,66,65
05-07-2009,65,97,129,75,77,116,54,116
12-07-2009,116,107,136,143,60,138,132,104
19-07-2009,104,127,58,112,58,218,100,62
26-07-2009,62,112,145,90,121,213,107,62
02-08-2009 00:00,62,101,131,115,57,101,64,99
09-08-2009 00:00,99,124,85,71,134,214,190,58
16-08-2009 00:00,58,71,64,70,115,102,59,59
23-08-2009 00:00,59,86,68,67,119,69,81,123
30-08-2009 00:00,123,80,109,62,61,148,78,114
06-09-2009 00:00,114,120,63,92,77,85,187,98
13-09-2009 00:00,98,93,89,51,51,94,139,133
20-09-2009 00:00,133,62,93,117,82,153,76,95
27-09-2009 00:00,95,100,102,129,150,173,151,74
04-10-2009 00:00,74,57,102,76,97,217,208,112
11-10-2009 00:00,112,92,75,91,86,236,193,70
18-10-2009 00:00,70,104,119,64,70,143,100,65
25-10-2009 00:00,65,108,116,108,138,204,93,60
01-11-2009 00:00,60,133,59,134,132,122,232,64
08-11-2009 00:00,64,71,77,77,142,116,61,142
15-11-2009 00:00,142,144,110,128,72,221,206,63
22-11-2009 00:00,63,51,133,133,123,117,249,79
29-11-2009 00:00,79,111,145,88,53,129,172,78
06-12-2009 00:00,78,122,70,80,123,58,164,136
13-12-2009 00:00,136,72,71,92,54,84,57,132
20-12-2009 00:00,132,109,82,112,63,57,115,111
27-12-2009 00:00,111,125,82,147,109,186,124,72
03-01-2010 00:00,72,132,79,135,105,58,87,98
10-01-2010 00:00,98,106,80,142,101,144,150,67
17-01-2010 00:00,67,129,81,53,130,212,166,138
24-01-2010 00:00,138,145,57,53,71,131,180,89
31-01-2010 00:00,89,54,61,76,149,177,206,51
07-02-2010 00:00,51,95,51,102,81,126,74,54
